Player,Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,4 + 6
Liton Das,Bangladesh,3,3,1,311,176,155.5,262.00,118.7,2,0,0,31,10,184
Tamim Iqbal ,Bangladesh,3,3,1,310,158,155,288.00,107.63,2,0,0,29,9,170
Sikandar Raza ,Zimbabwe,3,3,0,145,66,48.33,139.00,104.31,0,2,0,12,4,72
W Madhevere ,Zimbabwe,3,3,0,129,52,43,143.00,90.2,0,1,0,13,1,58
Mohammad Mithun ,Bangladesh,3,2,1,82,50,82,59.00,138.98,0,1,0,8,2,44
Mahmudullah ,Bangladesh,3,3,0,76,41,25.33,89.00,85.39,0,0,0,5,1,26
Mushfiqur Rahim ,Bangladesh,2,2,0,74,55,37,76.00,97.36,0,1,0,6,0,24
DT Tiripano ,Zimbabwe,3,3,1,72,55,36,59.00,122.03,0,1,0,2,7,50
CT Mutombodzi ,Zimbabwe,3,3,0,65,34,21.66,74.00,87.83,0,0,0,9,0,36
TS Kamunhukamwe ,Zimbabwe,3,3,0,56,51,18.66,84.00,66.66,0,1,0,6,2,36
RW Chakabva ,Zimbabwe,3,3,0,47,34,15.66,68.00,69.11,0,0,0,2,0,8
SC Williams ,Zimbabwe,2,2,0,44,30,22,60.00,73.33,0,0,0,8,0,32
R Mutumbami ,Zimbabwe,3,3,0,36,19,12,33.00,109.09,0,0,1,3,2,24
Najmul Hossain Shanto ,Bangladesh,2,2,0,35,29,17.5,48,72.91,0,0,0,2,2,20
BRM Taylor ,Zimbabwe,3,3,0,33,14,11,51,64.7,0,0,0,6,0,24
Mohammad Saifuddin ,Bangladesh,2,1,1,28,28,,15,186.66,0,0,0,0,3,18
CT Mumba ,Zimbabwe,3,3,2,17,13,17,18,94.44,0,0,0,1,1,10
Mehidy Hasan Miraz ,Bangladesh,3,2,0,12,7,6,10,120,0,0,0,0,1,6
CJ Chibhabha ,Zimbabwe,1,1,0,10,10,10,22,45.45,0,0,0,1,0,4
CB Mpofu ,Zimbabwe,1,1,1,9,9,,8,112.5,0,0,0,0,0,0
Afif Hossain ,Bangladesh,1,1,0,7,7,7,4,175,0,0,0,1,0,4
Shafiul Islam ,Bangladesh,1,1,1,5,5,,5,100,0,0,0,0,0,0
Mashrafe Mortaza ,Bangladesh,3,2,1,1,1,1,4,25,0,0,0,0,0,0
Taijul Islam ,Bangladesh,3,1,0,0,0,0,1,0,0,0,1,0,0,0
CK Tshuma ,Zimbabwe,2,1,0,0,0,0,1,0,0,0,1,0,0,0
