Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Mohammad Saifuddin (BDESH),Bangladesh,2,2,13.3,0,63,7,4/41,9,4.66,11.5,1,0
Taijul Islam (BDESH),Bangladesh,3,3,28,2,117,6,3/52,19.5,4.17,28,0,0
CT Mumba (ZIM),Zimbabwe,3,3,26,0,178,6,3/69,29.66,6.84,26,0,0
Mashrafe Mortaza (BDESH),Bangladesh,3,3,22.1,0,134,4,2/35,33.5,6.04,33.2,0,0
Mehidy Hasan Miraz (BDESH),Bangladesh,3,3,23,1,105,3,2/33,35,4.56,46,0,0
DT Tiripano (ZIM),Zimbabwe,3,3,23,0,176,3,2/55,58.66,7.65,46,0,0
Mustafizur Rahman (BDESH),Bangladesh,2,2,12,0,54,2,1/22,27,4.5,36,0,0
CB Mpofu (ZIM),Zimbabwe,1,1,10,0,68,2,2/68,34,6.8,30,0,0
W Madhevere (ZIM),Zimbabwe,3,3,20,0,115,2,1/38,57.5,5.75,60,0,0
Afif Hossain (BDESH),Bangladesh,1,1,2,0,12,1,1/12,12,6,12,0,0
Shafiul Islam (BDESH),Bangladesh,1,1,9,0,76,1,1/76,76,8.44,54,0,0
CT Mutombodzi (ZIM),Zimbabwe,3,2,10,0,81,1,1/47,81,8.1,60,0,0
CK Tshuma (ZIM),Zimbabwe,2,2,11,1,83,1,1/35,83,7.54,66,0,0
Al-Amin Hossain (BDESH),Bangladesh,1,1,10,0,85,1,1/85,85,8.5,60,0,0
Mahmudullah (BDESH),Bangladesh,3,2,7,0,34,0,,,4.85,,0,0
SC Williams (ZIM),Zimbabwe,2,2,16,1,81,0,,,5.06,,0,0
Sikandar Raza (ZIM),Zimbabwe,3,3,27,0,179,0,,,6.62,,0,0
